 # Z-Coordinate     Average potential
       16.33333281        5.12243222
       16.49831597        5.11089200
       16.66329913        5.05402256
       16.82828229        4.99883985
       16.99326545        4.92600297
       17.15824861        4.72728337
       17.32323177        4.45518677
       17.48821493        4.21651127
       17.65319809        4.02604393
       17.81818125        4.09869051
       17.98316441        4.36294615
       18.14814757        4.50760334
       18.31313073        4.44029774
       18.47811389        4.16478913
       18.64309705        3.64067218
       18.80808021        3.02256628
       18.97306337        2.42143187
       19.13804653        1.95005210
       19.30302969        1.67482760
       19.46801285        1.35003551
       19.63299601        0.93608851
       19.79797916        0.98961971
       19.96296232        1.75927225
       20.12794548        2.63355408
       20.29292864        3.15354343
       20.45791180        3.22763961
       20.62289496        3.05903854
       20.78787812        2.82445830
       20.95286128        2.35696782
       21.11784444        1.66105194
       21.28282760        1.13578474
       21.44781076        0.99053097
       21.61279392        1.11976976
       21.77777708        1.53030226
       21.94276024        1.79674445
       22.10774340        1.68430270
       22.27272656        1.40237076
       22.43770972        1.36223523
       22.60269288        1.51198161
       22.76767604        1.45334501
       22.93265920        1.42975534
       23.09764236        1.44898316
       23.26262552        1.58148775
       23.42760868        1.82683635
       23.59259184        2.02973445
       23.75757500        2.06247954
       23.92255816        1.87669814
       24.08754132        1.45845709
       24.25252448        1.19568895
       24.41750764        1.46156356
       24.58249080        1.95514538
       24.74747396        2.44780064
       24.91245712        2.63397206
       25.07744028        2.28967993
       25.24242344        1.63880586
       25.40740659        1.32766471
       25.57238975        1.49534713
       25.73737291        1.99361360
       25.90235607        2.49021434
       26.06733923        2.53468493
       26.23232239        2.36203091
       26.39730555        2.27614633
       26.56228871        2.50420942
       26.72727187        2.68132022
       26.89225503        2.68621415
       27.05723819        2.71218853
       27.22222135        2.74395642
       27.38720451        2.68283164
       27.55218767        2.54416649
       27.71717083        2.15619940
       27.88215399        1.44639498
       28.04713715        0.98773285
       28.21212031        1.25822576
       28.37710347        1.77655546
       28.54208663        2.03446812
       28.70706979        2.19976423
       28.87205295        2.28418866
       29.03703611        2.01627456
       29.20201927        1.65735686
       29.36700243        1.70751124
       29.53198559        1.90558226
       29.69696875        1.94406465
       29.86195191        1.94629918
       30.02693507        1.98704801
       30.19191823        1.99124033
       30.35690139        1.84905661
       30.52188455        1.63630385
       30.68686771        1.56000072
       30.85185087        1.70056594
       31.01683402        1.87781739
       31.18181718        1.97805890
       31.34680034        2.03049371
       31.51178350        2.17385666
       31.67676666        2.41873306
       31.84174982        2.53228120
       32.00673298        2.30542336
       32.17171614        1.89240502
       32.33669930        1.53832080
       32.50168246        1.43306843
       32.66666562        1.56780590
       32.83164878        1.64639441
       32.99663194        1.26813323
       33.16161510        0.74601569
       33.32659826        0.49499774
       33.49158142        0.47134299
       33.65656458        0.87859506
       33.82154774        1.69239185
       33.98653090        2.41465061
       34.15151406        2.74713414
       34.31649722        2.78152861
       34.48148038        2.75549653
       34.64646354        2.61492693
       34.81144670        2.15454223
       34.97642986        1.90108053
       35.14141302        2.12477122
       35.30639618        2.42871385
       35.47137934        2.48072460
       35.63636250        2.37624279
       35.80134566        2.55780155
       35.96632882        2.98305444
       36.13131198        3.00705018
       36.29629514        2.42406440
       36.46127830        1.83333078
       36.62626145        1.93032006
       36.79124461        2.15824836
       36.95622777        2.15782138
       37.12121093        2.17783851
       37.28619409        2.14936838
       37.45117725        2.15829106
       37.61616041        2.19487506
       37.78114357        2.05756779
       37.94612673        1.89075391
       38.11110989        1.97103941
       38.27609305        2.17638354
       38.44107621        2.33069418
       38.60605937        2.54559506
       38.77104253        2.82985992
       38.93602569        2.81346884
       39.10100885        2.48676829
       39.26599201        2.45755162
       39.43097517        2.79158385
       39.59595833        3.16403458
       39.76094149        3.44984150
       39.92592465        3.66934604
       40.09090781        3.79027863
       40.25589097        3.79274988
       40.42087413        3.98076962
       40.58585729        4.37946221
       40.75084045        4.70314594
       40.91582361        4.86297353
       41.08080677        4.93278214
       41.24578993        4.99441001
       41.41077309        5.04350769
       41.57575625        5.07160937
       41.74073941        5.08699345
       41.90572257        5.09544162
       42.07070573        5.10008943
       42.23568888        5.10263905
       42.40067204        5.10401815
       42.56565520        5.10474832
       42.73063836        5.10511991
       42.89562152        5.10529744
       43.06060468        5.10536941
       43.22558784        5.10538558
       43.39057100        5.10537683
       43.55555416        5.10535059
       43.72053732        5.10531961
       43.88552048        5.10528327
       44.05050364        5.10525082
       44.21548680        5.10521792
       44.38046996        5.10518735
       44.54545312        5.10515938
       44.71043628        5.10513384
       44.87541944        5.10510808
       45.04040260        5.10508655
       45.20538576        5.10506534
       45.37036892        5.10504782
       45.53535208        5.10502791
       45.70033524        5.10501051
       45.86531840        5.10499661
       46.03030156        5.10497988
       46.19528472        5.10496613
       46.36026788        5.10495246
       46.52525104        5.10493904
       46.69023420        5.10492888
       46.85521736        5.10491574
       47.02020052        5.10490440
       47.18518368        5.10489545
       47.35016684        5.54515232
       47.51515000        5.54514381
       47.68013316        5.54513571
       47.84511631        5.54512905
       48.01009947        5.54512307
       48.17508263        5.54511945
       48.34006579        5.54511598
       48.50504895        5.54511412
       48.67003211        5.54511218
       48.83501527        4.48183554
